Matricula,CRPL,PerÃ­odo Letivo,Polo
202016040002,7.5,2021.1,Cameta
202016040002,9.0,2021.3,Cameta
202016040002,6.25,2021.4,Cameta
202016040002,8.5,2022.2,Cameta
202016040002,8.33,2022.4,Cameta
202016040002,8.41,2023.2,Cameta
202016040002,10.0,2023.3,Cameta
202016040002,8.61,2023.4,Cameta
202016040002,10.0,2024.1,Cameta
202016040002,8.89,2024.2,Cameta
202016040002,7.5,2024.3,Cameta
202016040002,7.04,2024.4,Cameta
202016040002,10.0,2025.1,Cameta
202016040028,6.67,2021.1,Cameta
202016040028,6.67,2021.3,Cameta
202016040028,6.25,2021.4,Cameta
202016040028,6.75,2022.2,Cameta
202016040028,3.21,2022.4,Cameta
202016040028,5.23,2023.2,Cameta
202016040028,5.0,2023.4,Cameta
202016040028,2.5,2024.1,Cameta
202016040028,1.67,2024.2,Cameta
202016040028,3.78,2024.4,Cameta
202016040028,10.0,2020.4,Cameta
202016040028,0.0,2025.2,Cameta
202016040030,7.5,2021.1,Cameta
202016040030,9.0,2021.3,Cameta
202016040030,5.0,2021.4,Cameta
202016040030,6.75,2022.2,Cameta
202016040030,8.96,2022.4,Cameta
202016040030,6.94,2023.2,Cameta
202016040030,10.0,2023.3,Cameta
202016040030,8.09,2023.4,Cameta
202016040030,10.0,2024.1,Cameta
202016040030,7.22,2024.2,Cameta
202016040030,6.25,2024.3,Cameta
202016040030,9.71,2024.4,Cameta
202016040030,10.0,2020.4,Cameta
202016040030,0.0,2025.2,Cameta
202116040005,9.64,2021.4,Cameta
202116040005,8.5,2022.2,Cameta
202116040005,7.5,2022.4,Cameta
202116040005,9.79,2023.2,Cameta
202116040005,10.0,2023.3,Cameta
202116040005,9.25,2023.4,Cameta
202116040005,10.0,2024.1,Cameta
202116040005,9.58,2024.2,Cameta
202116040005,8.61,2024.4,Cameta
202116040005,3.33,2025.2,Cameta
202116040006,7.86,2021.4,Cameta
202116040006,7.0,2022.2,Cameta
202116040006,7.08,2022.4,Cameta
202116040006,8.54,2023.2,Cameta
202116040006,6.67,2023.3,Cameta
202116040006,9.5,2023.4,Cameta
202116040006,10.0,2024.1,Cameta
202116040006,8.33,2024.2,Cameta
202116040006,8.61,2024.4,Cameta
202116040006,3.33,2025.2,Cameta
202116040010,8.33,2021.4,Cameta
202116040010,5.75,2022.2,Cameta
202116040010,7.08,2022.4,Cameta
202116040010,7.92,2023.2,Cameta
202116040010,6.67,2023.3,Cameta
202116040010,9.25,2023.4,Cameta
202116040010,10.0,2024.1,Cameta
202116040010,9.17,2024.2,Cameta
202116040010,7.87,2024.4,Cameta
202116040010,0.0,2025.2,Cameta
202116040022,10.0,2021.4,Cameta
202116040022,5.83,2024.4,Cameta
202116040022,0.0,2025.2,Cameta
202116040023,9.29,2021.4,Cameta
202116040023,8.0,2022.2,Cameta
202116040023,7.92,2022.4,Cameta
202116040023,9.79,2023.2,Cameta
202116040023,10.0,2023.3,Cameta
202116040023,8.75,2023.4,Cameta
202116040023,10.0,2024.1,Cameta
202116040023,9.58,2024.2,Cameta
202116040023,8.25,2024.4,Cameta
202116040023,0.0,2025.2,Cameta
202316040005,6.75,2023.4,Cameta
202316040005,6.88,2024.2,Cameta
202316040005,6.41,2024.4,Cameta
202316040005,0.0,2025.2,Cameta
202316040015,5.75,2023.4,Cameta
202316040015,6.88,2024.2,Cameta
202316040015,2.5,2024.3,Cameta
202316040015,6.68,2024.4,Cameta
202316040015,0.0,2025.2,Cameta
202316040031,6.25,2023.4,Cameta
202316040031,8.75,2024.2,Cameta
202316040031,5.41,2024.4,Cameta
202316040031,0.0,2025.2,Cameta
202416040004,6.71,2024.4,Cameta
202416040004,0.0,2025.2,Cameta
202416040005,5.53,2024.4,Cameta
202416040005,0.0,2025.2,Cameta
202416040009,9.21,2024.4,Cameta
202416040009,0.0,2025.2,Cameta
202416040010,8.42,2024.4,Cameta
202416040010,0.0,2025.2,Cameta
202416040013,6.32,2024.4,Cameta
202416040013,0.0,2025.2,Cameta
202416040014,5.39,2024.4,Cameta
202416040014,0.0,2025.2,Cameta
202416040015,5.39,2024.4,Cameta
202416040015,0.0,2025.2,Cameta
202416040020,5.92,2024.4,Cameta
202416040020,0.0,2025.2,Cameta
202416040022,7.63,2024.4,Cameta
202416040022,0.0,2025.2,Cameta
202416040025,6.05,2024.4,Cameta
202416040025,0.0,2025.2,Cameta
202416040026,6.32,2024.4,Cameta
202416040026,0.0,2025.2,Cameta
202416040028,5.53,2024.4,Cameta
202416040028,0.0,2025.2,Cameta
202416040030,6.18,2024.4,Cameta
202416040030,0.0,2025.2,Cameta
202285640010,7.25,2022.3,Limoeiro
202285640010,7.5,2023.1,Limoeiro
202285640010,7.68,2023.3,Limoeiro
202285640010,8.33,2024.1,Limoeiro
202285640010,9.38,2024.3,Limoeiro
202285640010,9.5,2025.1,Limoeiro
202285640010,0.0,2025.2,Limoeiro
202285640022,8.0,2022.3,Limoeiro
202285640022,7.75,2023.1,Limoeiro
202285640022,8.04,2023.3,Limoeiro
202285640022,8.54,2024.1,Limoeiro
202285640022,9.17,2024.3,Limoeiro
202285640022,9.5,2025.1,Limoeiro
202285640022,0.0,2025.2,Limoeiro
202285640023,6.75,2022.3,Limoeiro
202285640023,7.95,2023.1,Limoeiro
202285640023,7.32,2023.3,Limoeiro
202285640023,8.75,2024.1,Limoeiro
202285640023,9.58,2024.3,Limoeiro
202285640023,9.5,2025.1,Limoeiro
202285640023,0.0,2025.2,Limoeiro
202285940010,5.0,2022.3,Oeiras
202285940010,7.5,2022.4,Oeiras
202285940010,8.18,2023.1,Oeiras
202285940010,8.75,2023.2,Oeiras
202285940010,7.14,2023.3,Oeiras
202285940010,9.64,2024.1,Oeiras
202285940010,8.33,2024.3,Oeiras
202285940010,10.0,2025.1,Oeiras
202285940010,0.0,2025.2,Oeiras
202285940016,10.0,2022.3,Oeiras
202285940016,10.0,2022.4,Oeiras
202285940016,8.64,2023.1,Oeiras
202285940016,7.5,2023.2,Oeiras
202285940016,7.92,2023.3,Oeiras
202285940016,9.38,2024.1,Oeiras
202285940016,8.75,2024.3,Oeiras
202285940016,10.0,2025.1,Oeiras
202285940016,0.0,2025.2,Oeiras
202285940019,10.0,2022.3,Oeiras
202285940019,10.0,2022.4,Oeiras
202285940019,9.09,2023.1,Oeiras
202285940019,10.0,2023.2,Oeiras
202285940019,8.75,2023.3,Oeiras
202285940019,10.0,2024.1,Oeiras
202285940019,9.58,2024.3,Oeiras
202285940019,10.0,2025.1,Oeiras
202285940019,0.0,2025.2,Oeiras
202285940020,8.33,2022.3,Oeiras
202285940020,7.5,2022.4,Oeiras
202285940020,9.09,2023.1,Oeiras
202285940020,7.5,2023.2,Oeiras
202285940020,7.29,2023.3,Oeiras
202285940020,9.58,2024.1,Oeiras
202285940020,9.58,2024.3,Oeiras
202285940020,10.0,2025.1,Oeiras
202285940020,0.0,2025.2,Oeiras
202285940022,5.0,2022.3,Oeiras
202285940022,10.0,2022.4,Oeiras
202285940022,8.64,2023.1,Oeiras
202285940022,6.25,2023.2,Oeiras
202285940022,6.96,2023.3,Oeiras
202285940022,9.29,2024.1,Oeiras
202285940022,8.33,2024.3,Oeiras
202285940022,10.0,2025.1,Oeiras
202285940022,0.0,2025.2,Oeiras
